model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,10,7000,1e-05,0.74333,0.25667,0.73567,0.73942,152.45
12.5,10,7500,0.0,0.74667,0.25333,0.73866,0.7416,162.82
12.5,10,8000,0.0,0.74267,0.25733,0.73424,0.73657,173.25
12.5,10,8500,0.0,0.74467,0.25533,0.73651,0.73936,183.61
12.5,10,9000,0.0,0.74467,0.25533,0.73682,0.73927,193.96
12.5,10,9500,0.0,0.74467,0.25533,0.73577,0.73751,204.36
12.5,10,10000,0.0,0.74467,0.25533,0.73635,0.73911,214.75
12.5,20,500,0.46205,0.768,0.232,0.76434,0.77023,17.35
12.5,20,1000,0.04513,0.718,0.282,0.70129,0.76767,27.75
12.5,20,1500,0.03574,0.818,0.182,0.81515,0.81694,38.13
12.5,20,2000,0.00021,0.82267,0.17733,0.82003,0.82122,48.48
12.5,20,2500,0.00011,0.81733,0.18267,0.81372,0.8179,58.82
12.5,20,3000,7e-05,0.81333,0.18667,0.80968,0.8139,69.19
12.5,20,3500,5e-05,0.82067,0.17933,0.81764,0.82079,79.56
12.5,20,4000,5e-05,0.81533,0.18467,0.81201,0.81572,89.97
12.5,20,4500,3e-05,0.81933,0.18067,0.8156,0.81886,100.34
12.5,20,5000,3e-05,0.81667,0.18333,0.81395,0.81891,110.73
12.5,20,5500,2e-05,0.81867,0.18133,0.81516,0.81916,121.07
12.5,20,6000,1e-05,0.81733,0.18267,0.81452,0.8201,131.44
12.5,20,6500,1e-05,0.82267,0.17733,0.81958,0.82227,141.79
12.5,20,7000,1e-05,0.81667,0.18333,0.81313,0.81722,152.29
12.5,20,7500,1e-05,0.82133,0.17867,0.81817,0.82134,162.68
12.5,20,8000,1e-05,0.818,0.182,0.81417,0.81741,173.12
12.5,20,8500,1e-05,0.814,0.186,0.81025,0.81434,183.52
12.5,20,9000,1e-05,0.82267,0.17733,0.81909,0.82174,193.94
12.5,20,9500,1e-05,0.82067,0.17933,0.81766,0.82082,204.34
12.5,20,10000,1e-05,0.82333,0.17667,0.82051,0.82391,214.72
